precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
11019,11019,11019,11,საგარეჯო,19,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,6,0.02,914,307,91,234,0.3359,0.0996,0.256,0,0
11019,11019,11019,11,საგარეჯო,19,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,9,0.03,914,307,91,234,0.3359,0.0996,0.256,0,0
11020,11020,11020,11,საგარეჯო,20,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,265,0.5009,1182,546,150,384,0.4619,0.1269,0.3249,17,0.0311
11020,11020,11020,11,საგარეჯო,20,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,218,0.4121,1182,546,150,384,0.4619,0.1269,0.3249,17,0.0311
11020,11020,11020,11,საგარეჯო,20,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,3,0.0057,1182,546,150,384,0.4619,0.1269,0.3249,17,0.0311
11020,11020,11020,11,საგარეჯო,20,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,4,0.0076,1182,546,150,384,0.4619,0.1269,0.3249,17,0.0311
11020,11020,11020,11,საგარეჯო,20,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,39,0.0737,1182,546,150,384,0.4619,0.1269,0.3249,17,0.0311
11021,11021,11021,11,საგარეჯო,21,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,126,0.4452,844,299,103,236,0.3543,0.122,0.2796,16,0.0535
11021,11021,11021,11,საგარეჯო,21,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,138,0.4876,844,299,103,236,0.3543,0.122,0.2796,16,0.0535
11021,11021,11021,11,საგარეჯო,21,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.0035,844,299,103,236,0.3543,0.122,0.2796,16,0.0535
11021,11021,11021,11,საგარეჯო,21,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,2,0.0071,844,299,103,236,0.3543,0.122,0.2796,16,0.0535
11021,11021,11021,11,საგარეჯო,21,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,16,0.0565,844,299,103,236,0.3543,0.122,0.2796,16,0.0535
11022,11022,11022,11,საგარეჯო,22,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,18,0.4737,92,38,17,28,0.413,0.1848,0.3043,0,0
11022,11022,11022,11,საგარეჯო,22,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,20,0.5263,92,38,17,28,0.413,0.1848,0.3043,0,0
11022,11022,11022,11,საგარეჯო,22,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,92,38,17,28,0.413,0.1848,0.3043,0,0
11022,11022,11022,11,საგარეჯო,22,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,0,0,92,38,17,28,0.413,0.1848,0.3043,0,0
11022,11022,11022,11,საგარეჯო,22,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,0,0,92,38,17,28,0.413,0.1848,0.3043,0,0
11023,11023,11023,11,საგარეჯო,23,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,35,0.5469,99,64,26,51,0.6465,0.2626,0.5152,0,0
11023,11023,11023,11,საგარეჯო,23,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,26,0.4063,99,64,26,51,0.6465,0.2626,0.5152,0,0
11023,11023,11023,11,საგარეჯო,23,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,99,64,26,51,0.6465,0.2626,0.5152,0,0
11023,11023,11023,11,საგარეჯო,23,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,3,0.0469,99,64,26,51,0.6465,0.2626,0.5152,0,0
11023,11023,11023,11,საგარეჯო,23,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,0,0,99,64,26,51,0.6465,0.2626,0.5152,0,0
11024,11024,11024,11,საგარეჯო,24,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,155,0.4016,852,394,118,280,0.4624,0.1385,0.3286,8,0.0203
11024,11024,11024,11,საგარეჯო,24,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,223,0.5777,852,394,118,280,0.4624,0.1385,0.3286,8,0.0203
11024,11024,11024,11,საგარეჯო,24,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.0026,852,394,118,280,0.4624,0.1385,0.3286,8,0.0203
11024,11024,11024,11,საგარეჯო,24,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,6,0.0155,852,394,118,280,0.4624,0.1385,0.3286,8,0.0203
11024,11024,11024,11,საგარეჯო,24,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,1,0.0026,852,394,118,280,0.4624,0.1385,0.3286,8,0.0203
11025,11025,11025,11,საგარეჯო,25,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,159,0.6463,816,259,102,223,0.3174,0.125,0.2733,13,0.0502
11025,11025,11025,11,საგარეჯო,25,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,79,0.3211,816,259,102,223,0.3174,0.125,0.2733,13,0.0502
11025,11025,11025,11,საგარეჯო,25,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,816,259,102,223,0.3174,0.125,0.2733,13,0.0502
11025,11025,11025,11,საგარეჯო,25,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,4,0.0163,816,259,102,223,0.3174,0.125,0.2733,13,0.0502
11025,11025,11025,11,საგარეჯო,25,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,4,0.0163,816,259,102,223,0.3174,0.125,0.2733,13,0.0502
11026,11026,11026,11,საგარეჯო,26,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,226,0.7386,1101,317,91,223,0.2879,0.0827,0.2025,11,0.0347
11026,11026,11026,11,საგარეჯო,26,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,57,0.1863,1101,317,91,223,0.2879,0.0827,0.2025,11,0.0347
11026,11026,11026,11,საგარეჯო,26,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.0033,1101,317,91,223,0.2879,0.0827,0.2025,11,0.0347
11026,11026,11026,11,საგარეჯო,26,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,8,0.0261,1101,317,91,223,0.2879,0.0827,0.2025,11,0.0347
11026,11026,11026,11,საგარეჯო,26,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,14,0.0458,1101,317,91,223,0.2879,0.0827,0.2025,11,0.0347
