"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","გელა არველაძე",1,70,3455598,1489131,569700,1181362,3429019,26579,60580,4.9e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა გაჩეჩილაძე",1,26,3455598,1489131,569700,1181362,3429019,26579,60580,1.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა გელაშვილი",1,104,3455598,1489131,569700,1181362,3429019,26579,60580,7.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა გიგინეიშვილი",1,213,3455598,1489131,569700,1181362,3429019,26579,60580,0.00015,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა გობრონიძე",1,41,3455598,1489131,569700,1181362,3429019,26579,60580,2.9e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა კენჭუაშვილი",1,6,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა კობახიძე",1,900,3455598,1489131,569700,1181362,3429019,26579,60580,0.000635,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა სირბილაძე",1,134,3455598,1489131,569700,1181362,3429019,26579,60580,9.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გელა ხელაშვილი",1,131,3455598,1489131,569700,1181362,3429019,26579,60580,9.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გენადი გაბიძაშვილი",1,785,3455598,1489131,569700,1181362,3429019,26579,60580,0.000554,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გენადი თავდგირიძე",1,259,3455598,1489131,569700,1181362,3429019,26579,60580,0.000183,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გვანცა ჩინჩალაძე",1,66,3455598,1489131,569700,1181362,3429019,26579,60580,4.7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია ბოლქვაძე",1,104,3455598,1489131,569700,1181362,3429019,26579,60580,7.3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია გვასალია",1,77,3455598,1489131,569700,1181362,3429019,26579,60580,5.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია გიორგიძე",1,253,3455598,1489131,569700,1181362,3429019,26579,60580,0.000179,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია ლომსაძე",1,48,3455598,1489131,569700,1181362,3429019,26579,60580,3.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია სამსონია",1,42,3455598,1489131,569700,1181362,3429019,26579,60580,3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია წულაია",1,76,3455598,1489131,569700,1181362,3429019,26579,60580,5.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გია ჯინჯიხაძე",1,182,3455598,1489131,569700,1181362,3429019,26579,60580,0.000129,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიგა გოგიბერიძე",1,392,3455598,1489131,569700,1181362,3429019,26579,60580,0.000277,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიგა ნიჟარაძე",1,59,3455598,1489131,569700,1181362,3429019,26579,60580,4.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიგა წიქორაძე",1,41,3455598,1489131,569700,1181362,3429019,26579,60580,2.9e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიგა ჯანჯღავა",1,62,3455598,1489131,569700,1181362,3429019,26579,60580,4.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიგლა სვანიძე",1,450,3455598,1489131,569700,1181362,3429019,26579,60580,0.000318,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გივი კალანდაძე",1,21,3455598,1489131,569700,1181362,3429019,26579,60580,1.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გივი ოსეფაშვილი",1,225,3455598,1489131,569700,1181362,3429019,26579,60580,0.000159,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გივი ხოზრევანიძე",1,282,3455598,1489131,569700,1181362,3429019,26579,60580,0.000199,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გივი ჯიქია",1,1657,3455598,1489131,569700,1181362,3429019,26579,60580,0.00117,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ანდიაშვილი",1,4,3455598,1489131,569700,1181362,3429019,26579,60580,3e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ბარნაბიშვილი",1,52,3455598,1489131,569700,1181362,3429019,26579,60580,3.7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ბუკია",1,29,3455598,1489131,569700,1181362,3429019,26579,60580,2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი გელაშვილი",1,141,3455598,1489131,569700,1181362,3429019,26579,60580,1e-04,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი გოგავა",1,68,3455598,1489131,569700,1181362,3429019,26579,60580,4.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი გოცირიძე",1,837,3455598,1489131,569700,1181362,3429019,26579,60580,0.000591,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი გურგენაძე",1,184,3455598,1489131,569700,1181362,3429019,26579,60580,0.00013,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი დევიძე",1,31,3455598,1489131,569700,1181362,3429019,26579,60580,2.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ეჟიშვილი",1,53,3455598,1489131,569700,1181362,3429019,26579,60580,3.7e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ზაზაძე",1,151,3455598,1489131,569700,1181362,3429019,26579,60580,0.000107,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი თათრიშვილი",1,21,3455598,1489131,569700,1181362,3429019,26579,60580,1.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი თომაძე",1,72,3455598,1489131,569700,1181362,3429019,26579,60580,5.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ილურიძე",1,5,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი იმედაშვილი",1,161,3455598,1489131,569700,1181362,3429019,26579,60580,0.000114,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი კახურაშვილი",1,57,3455598,1489131,569700,1181362,3429019,26579,60580,4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი კვიცაშვილი",1,283,3455598,1489131,569700,1181362,3429019,26579,60580,2e-04,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი კუდარავა",1,6,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ლეთოდიანი",1,6,3455598,1489131,569700,1181362,3429019,26579,60580,4e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ლეკიაშვილი",1,150,3455598,1489131,569700,1181362,3429019,26579,60580,0.000106,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი მანჯავიძე",1,194,3455598,1489131,569700,1181362,3429019,26579,60580,0.000137,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი მწარიაშვილი",1,168,3455598,1489131,569700,1181362,3429019,26579,60580,0.000119,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი საგინაშვილი",1,93,3455598,1489131,569700,1181362,3429019,26579,60580,6.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი საჯაია",1,1549,3455598,1489131,569700,1181362,3429019,26579,60580,0.001094,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი სირბილაძე",1,241,3455598,1489131,569700,1181362,3429019,26579,60580,0.00017,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ფარეშიშვილი",1,79,3455598,1489131,569700,1181362,3429019,26579,60580,5.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ქეშიკაშვილი",1,65,3455598,1489131,569700,1181362,3429019,26579,60580,4.6e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი შერგელაშვილი",1,31,3455598,1489131,569700,1181362,3429019,26579,60580,2.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი შოშიაშვილი",1,49,3455598,1489131,569700,1181362,3429019,26579,60580,3.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ჩიდრაშვილი",1,192,3455598,1489131,569700,1181362,3429019,26579,60580,0.000136,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ჩირგაძე",1,63,3455598,1489131,569700,1181362,3429019,26579,60580,4.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ჩირინაშვილი",1,90,3455598,1489131,569700,1181362,3429019,26579,60580,6.4e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გიორგი ცხვედაძე",1,34,3455598,1489131,569700,1181362,3429019,26579,60580,2.4e-05,0.430933,0.164863,0.341869,0.040681
