precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79024,79024,79024,79,ბათუმი,24,adj2008_united_communist,თეიმურაზ სამნიძე,11,0.0217,1458,521,230,437,0.3573,0.1578,0.2997,15,0.0288
79024,79024,79024,79,ბათუმი,24,adj2008_kartuli_dasi,ბესიკი რატიანი,7,0.0138,1458,521,230,437,0.3573,0.1578,0.2997,15,0.0288
79024,79024,79024,79,ბათუმი,24,industry_sakartvelo,ირაკლი ჯაში,10,0.0198,1458,521,230,437,0.3573,0.1578,0.2997,15,0.0288
79024,79024,79024,79,ბათუმი,24,adj2008_chven_tviton,ზურაბ ცეცხლაძე,17,0.0336,1458,521,230,437,0.3573,0.1578,0.2997,15,0.0288
79024,79024,79024,79,ბათუმი,24,unm,ზაზა გოგოტიშვილი,347,0.6858,1458,521,230,437,0.3573,0.1578,0.2997,15,0.0288
79024,79024,79024,79,ბათუმი,24,christian_democrats_2008,ნიაზ ზოსიძე,114,0.2253,1458,521,230,437,0.3573,0.1578,0.2997,15,0.0288
79025,79025,79025,79,ბათუმი,25,adj2008_united_communist,თეიმურაზ სამნიძე,10,0.0249,1322,415,205,376,0.3139,0.1551,0.2844,6,0.0145
79025,79025,79025,79,ბათუმი,25,adj2008_kartuli_dasi,ბესიკი რატიანი,9,0.0224,1322,415,205,376,0.3139,0.1551,0.2844,6,0.0145
79025,79025,79025,79,ბათუმი,25,industry_sakartvelo,ირაკლი ჯაში,7,0.0174,1322,415,205,376,0.3139,0.1551,0.2844,6,0.0145
79025,79025,79025,79,ბათუმი,25,unm,ზაზა გოგოტიშვილი,294,0.7313,1322,415,205,376,0.3139,0.1551,0.2844,6,0.0145
79025,79025,79025,79,ბათუმი,25,christian_democrats_2008,ნიაზ ზოსიძე,82,0.204,1322,415,205,376,0.3139,0.1551,0.2844,6,0.0145
79026,79026,79026,79,ბათუმი,26,adj2008_united_communist,თეიმურაზ სამნიძე,10,0.0232,1472,450,210,376,0.3057,0.1427,0.2554,19,0.0422
79026,79026,79026,79,ბათუმი,26,adj2008_kartuli_dasi,ბესიკი რატიანი,4,0.0093,1472,450,210,376,0.3057,0.1427,0.2554,19,0.0422
79026,79026,79026,79,ბათუმი,26,industry_sakartvelo,ირაკლი ჯაში,3,0.007,1472,450,210,376,0.3057,0.1427,0.2554,19,0.0422
79026,79026,79026,79,ბათუმი,26,adj2008_chven_tviton,ზურაბ ცეცხლაძე,9,0.0209,1472,450,210,376,0.3057,0.1427,0.2554,19,0.0422
79026,79026,79026,79,ბათუმი,26,unm,ზაზა გოგოტიშვილი,259,0.6009,1472,450,210,376,0.3057,0.1427,0.2554,19,0.0422
79026,79026,79026,79,ბათუმი,26,christian_democrats_2008,ნიაზ ზოსიძე,146,0.3387,1472,450,210,376,0.3057,0.1427,0.2554,19,0.0422
79027,79027,79027,79,ბათუმი,27,adj2008_united_communist,თეიმურაზ სამნიძე,12,0.0268,1467,458,205,388,0.3122,0.1397,0.2645,11,0.024
79027,79027,79027,79,ბათუმი,27,adj2008_kartuli_dasi,ბესიკი რატიანი,8,0.0179,1467,458,205,388,0.3122,0.1397,0.2645,11,0.024
79027,79027,79027,79,ბათუმი,27,industry_sakartvelo,ირაკლი ჯაში,7,0.0157,1467,458,205,388,0.3122,0.1397,0.2645,11,0.024
79027,79027,79027,79,ბათუმი,27,adj2008_chven_tviton,ზურაბ ცეცხლაძე,14,0.0313,1467,458,205,388,0.3122,0.1397,0.2645,11,0.024
79027,79027,79027,79,ბათუმი,27,unm,ზაზა გოგოტიშვილი,341,0.7629,1467,458,205,388,0.3122,0.1397,0.2645,11,0.024
79027,79027,79027,79,ბათუმი,27,christian_democrats_2008,ნიაზ ზოსიძე,65,0.1454,1467,458,205,388,0.3122,0.1397,0.2645,11,0.024
79028,79028,79028,79,ბათუმი,28,adj2008_united_communist,თეიმურაზ სამნიძე,24,0.0617,1365,405,160,347,0.2967,0.1172,0.2542,16,0.0395
79028,79028,79028,79,ბათუმი,28,adj2008_kartuli_dasi,ბესიკი რატიანი,6,0.0154,1365,405,160,347,0.2967,0.1172,0.2542,16,0.0395
