"district_id","party_id","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"14","reformers_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","sakhalkho_party_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","self_governance_people_2014",28,22814,11725,4542,9043,22622,192,275,0.002449,0.513939,0.199088,0.396379,0.023454
"14","ufali_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","unity_hall_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","unm",1088,22814,11725,4542,9043,22622,192,275,0.095146,0.513939,0.199088,0.396379,0.023454
"14","veterans_patriots_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","workers_council_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"15","burjanadze_united_opposition_2014",4271,39318,18763,6984,14686,39013,305,982,0.240335,0.477211,0.177629,0.373518,0.052337
"15","christian_democrats_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","freedom_zviads_way_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","future_georgia_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","gd",9390,39318,18763,6984,14686,39013,305,982,0.528389,0.477211,0.177629,0.373518,0.052337
"15","georgian_party_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","georgias_way_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","greens_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","kostava_society",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","labour",553,39318,18763,6984,14686,39013,305,982,0.031118,0.477211,0.177629,0.373518,0.052337
"15","nonparliamentary_opposition_2014",109,39318,18763,6984,14686,39013,305,982,0.006134,0.477211,0.177629,0.373518,0.052337
"15","our_georgia_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","patriots",502,39318,18763,6984,14686,39013,305,982,0.028248,0.477211,0.177629,0.373518,0.052337
"15","peoples_movement_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","peoples_party_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","reformers_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","sakhalkho_party_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","self_governance_people_2014",53,39318,18763,6984,14686,39013,305,982,0.002982,0.477211,0.177629,0.373518,0.052337
"15","ufali_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","unity_hall_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"15","unm",2695,39318,18763,6984,14686,39013,305,982,0.151652,0.477211,0.177629,0.373518,0.052337
"15","veterans_patriots_2014",198,39318,18763,6984,14686,39013,305,982,0.011142,0.477211,0.177629,0.373518,0.052337
"15","workers_council_2014",0,39318,18763,6984,14686,39013,305,982,0,0.477211,0.177629,0.373518,0.052337
"16","burjanadze_united_opposition_2014",1533,29422,15877,5540,12075,29195,227,982,0.103003,0.53963,0.188294,0.410407,0.06185
"16","christian_democrats_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","freedom_zviads_way_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","future_georgia_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","gd",6329,29422,15877,5540,12075,29195,227,982,0.42525,0.53963,0.188294,0.410407,0.06185
"16","georgian_party_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","georgias_way_2014",156,29422,15877,5540,12075,29195,227,982,0.010482,0.53963,0.188294,0.410407,0.06185
"16","greens_2014",516,29422,15877,5540,12075,29195,227,982,0.03467,0.53963,0.188294,0.410407,0.06185
"16","kostava_society",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","labour",852,29422,15877,5540,12075,29195,227,982,0.057247,0.53963,0.188294,0.410407,0.06185
"16","nonparliamentary_opposition_2014",368,29422,15877,5540,12075,29195,227,982,0.024726,0.53963,0.188294,0.410407,0.06185
"16","our_georgia_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","patriots",1050,29422,15877,5540,12075,29195,227,982,0.07055,0.53963,0.188294,0.410407,0.06185
"16","peoples_movement_2014",40,29422,15877,5540,12075,29195,227,982,0.002688,0.53963,0.188294,0.410407,0.06185
"16","peoples_party_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","reformers_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","sakhalkho_party_2014",108,29422,15877,5540,12075,29195,227,982,0.007257,0.53963,0.188294,0.410407,0.06185
"16","self_governance_people_2014",112,29422,15877,5540,12075,29195,227,982,0.007525,0.53963,0.188294,0.410407,0.06185
"16","ufali_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","unity_hall_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"16","unm",3624,29422,15877,5540,12075,29195,227,982,0.243499,0.53963,0.188294,0.410407,0.06185
"16","veterans_patriots_2014",195,29422,15877,5540,12075,29195,227,982,0.013102,0.53963,0.188294,0.410407,0.06185
"16","workers_council_2014",0,29422,15877,5540,12075,29195,227,982,0,0.53963,0.188294,0.410407,0.06185
"17","burjanadze_united_opposition_2014",3062,37308,16279,4898,11340,37148,160,678,0.19685,0.436341,0.131286,0.303956,0.041649
