district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
31,pr,ახალგორი,6366,3952,0.6208,1702,3208,6261,105,0.2674,0.5039,90,0.0228
32,pr,გორი,100360,59406,0.5919,20078,41393,96019,4341,0.2001,0.4124,939,0.0158
33,pr,ქარელი,36329,24638,0.6782,8965,18067,36076,253,0.2468,0.4973,572,0.0232
35,pr,ხაშური,49187,35386,0.7194,10949,24657,48561,626,0.2226,0.5013,668,0.0189
36,pr,ბორჯომი,27685,15951,0.5762,7949,13680,27507,178,0.2871,0.4941,437,0.0274
37,pr,ახალციხე,34355,28454,0.8282,11652,23304,34022,333,0.3392,0.6783,540,0.019
38,pr,ადიგენი,15687,12534,0.799,5808,10277,15563,124,0.3702,0.6551,97,0.0077
39,pr,ასპინძა,9816,8113,0.8265,3804,7044,9744,72,0.3875,0.7176,85,0.0105
40,pr,ახალქალაქი,40493,31890,0.7875,11894,24960,40474,19,0.2937,0.6164,393,0.0123
41,pr,ნინოწმინდა,21931,18000,0.8208,10175,16564,21931,0,0.464,0.7553,288,0.016
43,pr,ონი,7202,4613,0.6405,2269,3700,7077,125,0.3151,0.5137,226,0.049
44,pr,ამბროლაური,12677,8594,0.6779,4598,7241,12527,150,0.3627,0.5712,333,0.0387
45,pr,ცაგერი,12706,7585,0.597,5051,6697,12541,165,0.3975,0.5271,293,0.0386
46,pr,ლენტეხი,6090,4368,0.7172,2344,3489,6019,71,0.3849,0.5729,64,0.0147
47,pr,მესტია,8697,5469,0.6288,3141,4837,8559,138,0.3612,0.5562,167,0.0305
48,pr,ხარაგაული,20730,13387,0.6458,5998,10184,20598,132,0.2893,0.4913,514,0.0384
49,pr,თერჯოლა,34333,19545,0.5693,8537,15602,34209,124,0.2487,0.4544,783,0.0401
50,pr,საჩხერე,40992,21658,0.5283,9416,16899,40714,278,0.2297,0.4123,539,0.0249
51,pr,ზესტაფონი,56981,27777,0.4875,11951,22238,56637,344,0.2097,0.3903,970,0.0349
52,pr,ბაღდათი,23791,13376,0.5622,6144,10464,23629,162,0.2582,0.4398,316,0.0236
53,pr,ვანი,26760,13601,0.5083,6371,10778,26625,135,0.2381,0.4028,669,0.0492
54,pr,სამტრედია,47997,23435,0.4883,10872,18280,47714,283,0.2265,0.3809,697,0.0297
55,pr,ხონი,25021,15015,0.6001,6338,10560,24713,308,0.2533,0.422,1359,0.0905
56,pr,ჭიათურა,46426,21571,0.4646,10595,18356,46082,344,0.2282,0.3954,729,0.0338
57,pr,ტყიბული,25244,13144,0.5207,7584,11192,25057,187,0.3004,0.4434,644,0.049
