precinct_id,district_id,vote_type,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
3059,3,pr,Saburtalo,59,1260,581,0.461111,133,450,1168,112,0.105556,0.357143,17,0.02926
3060,3,pr,Saburtalo,60,1366,578,0.423133,159,474,1267,99,0.116398,0.346999,6,0.010381
3061,3,pr,Saburtalo,61,1143,667,0.583552,168,584,1046,97,0.146982,0.510936,8,0.011994
3062,3,pr,Saburtalo,62,1512,858,0.56746,226,700,1449,63,0.149471,0.462963,11,0.012821
3063,3,pr,Saburtalo,63,1562,912,0.583867,194,749,1505,65,0.1242,0.479513,3,0.003289
3064,3,pr,Saburtalo,64,1593,870,0.546139,213,765,1528,65,0.13371,0.480226,8,0.009195
3065,3,pr,Saburtalo,65,1521,781,0.513478,179,531,1489,38,0.117686,0.349112,13,0.016645
3066,3,pr,Saburtalo,66,1451,724,0.498966,192,601,1391,58,0.132323,0.414197,5,0.006906
3067,3,pr,Saburtalo,67,1194,615,0.515075,132,516,1148,46,0.110553,0.432161,7,0.011382
3068,3,pr,Saburtalo,68,1590,696,0.437736,190,620,1493,97,0.119497,0.389937,3,0.00431
3069,3,pr,Saburtalo,69,1539,958,0.622482,254,627,1468,75,0.165042,0.407407,8,0.008351
3070,3,pr,Saburtalo,70,1412,652,0.461756,202,568,1352,62,0.143059,0.402266,3,0.004601
3071,3,pr,Saburtalo,71,1166,732,0.627787,175,584,1168,42,0.150086,0.500858,4,0.005464
3072,3,pr,Saburtalo,72,1414,864,0.611033,231,704,1342,72,0.163366,0.497878,35,0.040509
3073,3,pr,Saburtalo,73,1554,881,0.566924,226,756,1494,62,0.145431,0.486486,8,0.009081
3074,3,pr,Saburtalo,74,1550,756,0.487742,239,637,1480,72,0.154194,0.410968,9,0.011905
3075,3,pr,Saburtalo,75,1420,663,0.466901,246,581,1352,68,0.173239,0.409155,7,0.010558
3076,3,pr,Saburtalo,76,1532,807,0.526762,215,680,1476,60,0.140339,0.443864,52,0.064436
3077,3,pr,Saburtalo,77,1500,776,0.517333,192,550,1409,91,0.128,0.366667,6,0.007732
3078,3,pr,Saburtalo,78,839,839,1,232,586,751,88,0.27652,0.698451,7,0.008343
3079,3,pr,Saburtalo,79,1561,971,0.622037,250,750,1493,68,0.160154,0.480461,46,0.047374
3080,3,pr,Saburtalo,80,1603,571,0.356207,153,431,1550,61,0.095446,0.268871,6,0.010508
3081,3,pr,Saburtalo,81,1405,555,0.395018,127,469,1420,59,0.090391,0.333808,6,0.010811
3082,3,pr,Saburtalo,82,182,182,1,33,102,50,132,0.181319,0.56044,5,0.027473
4001,4,pr,Krtsanisi,1,1475,848,0.574915,222,705,1432,43,0.150508,0.477966,21,0.024764
4002,4,pr,Krtsanisi,2,1482,701,0.473009,200,600,1432,50,0.134953,0.404858,10,0.014265
4003,4,pr,Krtsanisi,3,1515,690,0.455446,150,574,1463,52,0.09901,0.378878,10,0.014493
4004,4,pr,Krtsanisi,4,1517,720,0.474621,156,582,1466,51,0.102835,0.383652,7,0.009722
4005,4,pr,Krtsanisi,5,1452,614,0.422865,107,512,1408,44,0.073691,0.352617,36,0.058632
4006,4,pr,Krtsanisi,6,1394,610,0.43759,135,470,1336,58,0.096844,0.337159,2,0.003279
4007,4,pr,Krtsanisi,7,1362,503,0.36931,137,433,1332,30,0.100587,0.317915,12,0.023857
4008,4,pr,Krtsanisi,8,1286,638,0.496112,126,516,1210,76,0.097978,0.401244,4,0.00627
4009,4,pr,Krtsanisi,9,1390,654,0.470504,174,541,1358,36,0.12518,0.389209,8,0.012232
4010,4,pr,Krtsanisi,10,1329,637,0.479308,183,536,1278,51,0.137698,0.403311,14,0.021978
4011,4,pr,Krtsanisi,11,1123,574,0.511131,116,476,1067,56,0.103295,0.423865,5,0.008711
4012,4,pr,Krtsanisi,12,1835,1265,0.689373,240,683,2228,54,0.13079,0.372207,15,0.011858
4013,4,pr,Krtsanisi,13,1188,632,0.531987,148,454,1159,29,0.124579,0.382155,12,0.018987
4014,4,pr,Krtsanisi,14,1676,967,0.576969,160,646,1799,56,0.095465,0.385442,10,0.010341
4015,4,pr,Krtsanisi,15,1552,1075,0.692655,234,745,1574,77,0.150773,0.480026,26,0.024186
4016,4,pr,Krtsanisi,16,1470,955,0.64966,190,537,1649,39,0.129252,0.365306,28,0.029319
4017,4,pr,Krtsanisi,17,1877,1259,0.670751,213,680,2188,86,0.113479,0.36228,94,0.074662
4018,4,pr,Krtsanisi,18,1261,534,0.423473,183,429,1229,32,0.145123,0.340206,11,0.020599
4019,4,pr,Krtsanisi,19,1285,587,0.456809,173,480,1254,31,0.13463,0.373541,3,0.005111
