electoral_district_id,raw_vote_code,ballot_code,party_id,name_ka,first_name,last_name,presenter
43,5,5,unm,ვალერიან გავაშელი,ვალერიან,გავაშელი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
43,10,10,christian_democrats_2012,შოთა ჩიხრაძე,შოთა,ჩიხრაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
43,24,24,new_rights_2012,ზაზა ისაკაძე,ზაზა,ისაკაძე,"24. ""ახალი მემარჯვენეები"""
43,38,38,labour,ზაზა ნატბელაძე,ზაზა,ნატბელაძე,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
43,40,40,sports_union_2012,ავთანდილ მაისურაძე,ავთანდილ,მაისურაძე,40. ”საქართველოს სპორტსმენთა კავშირი”
43,41,41,gd,თამაზ ჯაფარიძე,თამაზ,ჯაფარიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
44,1,1,free_georgia,გიორგი სამხარაძე,გიორგი,სამხარაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
44,5,5,unm,გოჩა ენუქიძე,გოჩა,ენუქიძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
44,10,10,christian_democrats_2012,აკაკი ვაჩაძე,აკაკი,ვაჩაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
44,24,24,new_rights_2012,გოჩა დონაძე,გოჩა,დონაძე,"24. ""ახალი მემარჯვენეები"""
44,38,38,labour,თენგიზ გოგორელიანი,თენგიზ,გოგორელიანი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
44,40,40,sports_union_2012,ედიშერ მაჩაიძე,ედიშერ,მაჩაიძე,40. ”საქართველოს სპორტსმენთა კავშირი”
44,41,41,gd,დავით დარახველიძე,დავით,დარახველიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
45,1,1,free_georgia,როსტომ თვარაძე,როსტომ,თვარაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
45,5,5,unm,სერგო ხაბულიანი,სერგო,ხაბულიანი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
45,10,10,christian_democrats_2012,კარლო გვიშიანი,კარლო,გვიშიანი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
45,36,36,workers_socialist,ჯენერი სილაგაძე,ჯენერი,სილაგაძე,36. ”საქართველოს მშრომელთა საბჭო”
45,41,41,gd,მამუკა ჩაჩხიანი,მამუკა,ჩაჩხიანი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
46,1,1,free_georgia,ამირან გარდაფხაძე,ამირან,გარდაფხაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
46,5,5,unm,გოგი ლიპარტელიანი,გოგი,ლიპარტელიანი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
46,10,10,christian_democrats_2012,ირინა კონდრატიევა,ირინა,კონდრატიევა,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
46,24,24,new_rights_2012,მირიან ლიპარტელიანი,მირიან,ლიპარტელიანი,"24. ""ახალი მემარჯვენეები"""
46,41,41,gd,გია გაზდელიანი,გია,გაზდელიანი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
