"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
613,6,1,13,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ზურაბ ქაფიანიძე","ზურაბ","ქაფიანიძე"
613,6,1,13,"3","industry_sakartvelo","თოფაძე-მრეწველები","ნოდარ ჭრიკიშვილი","ნოდარ","ჭრიკიშვილი"
613,6,1,13,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","იოსებ ეგუტია","იოსებ","ეგუტია"
613,6,1,13,"7","national_council_2010","“ეროვნული საბჭო”","არჩილ ზარიძე","არჩილ","ზარიძე"
613,6,1,13,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","ნატო რევაზიშვილი","ნატო","რევაზიშვილი"
613,6,1,13,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","გია თარგამაძე","გია","თარგამაძე"
613,6,1,13,"18","solidarity_2010","პოლიტიკური მოძრაობა “სოლიდარობა”","იბრაგიმი კიზირია","იბრაგიმი","კიზირია"
613,6,1,13,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","როსტომ მეტრეველი","როსტომ","მეტრეველი"
613,6,1,13,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","ვახტანგ მელიქიძე","ვახტანგ","მელიქიძე"
614,6,1,14,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","გულო ზუმბაძე","გულო","ზუმბაძე"
614,6,1,14,"3","industry_sakartvelo","თოფაძე-მრეწველები","დავით შეშაბერიძე","დავით","შეშაბერიძე"
614,6,1,14,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","ირაკლი შიხიაშვილი","ირაკლი","შიხიაშვილი"
614,6,1,14,"7","national_council_2010","“ეროვნული საბჭო”","ხვიჩა ასანიძე","ხვიჩა","ასანიძე"
614,6,1,14,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","ჯიგული ლეთოდიანი","ჯიგული","ლეთოდიანი"
614,6,1,14,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","კობა მახაური","კობა","მახაური"
