self_governing_unit,vote_type,candidate_name,candidate_political_party,majoritarian_district_id
17,sakrebulo pr,ზაზა ჩიკვაიძე,ქართული ოცნება,
17,sakrebulo pr,ნიკა ხუციშვილი,ქართული ოცნება,
17,sakrebulo pr,ეკატერინე ონიკაძე,ქართული ოცნება,
17,sakrebulo pr,დავით ღაღანიძე,ქართული ოცნება,
17,sakrebulo pr,ლევან კოჭლოშვილი,ქართული ოცნება,
17,sakrebulo pr,ეკატერინე ობოლაძე,ქართული ოცნება,
17,sakrebulo pr,გივი ლაფაური,ქართული ოცნება,
17,sakrebulo pr,ნუგზარი ცაძიკიძე,ქართული ოცნება,
17,sakrebulo pr,ნიკოლოზ ლაშხი,ქართული ოცნება,
17,sakrebulo pr,გიორგი კოჭლოშვილი,ქართული ოცნება,
17,sakrebulo pr,გიორგი ქართლელიშვილი,ქართული ოცნება,
17,sakrebulo pr,ლევან ბერძენაშვილი,ძლიერი საქართველო-ლელო,
17,sakrebulo smd,მიხეილი დაღუნდარიძე,ქართული ოცნება,17.01
17,sakrebulo smd,გიორგი ხაჭაპურიძე,ქართული ოცნება,17.02
17,sakrebulo smd,სოლომონი რამაზაშვილი,ქართული ოცნება,17.03
17,sakrebulo smd,ივანე კირვალიძე,ქართული ოცნება,17.04
17,sakrebulo smd,ზურაბი ლილუაშვილი,ქართული ოცნება,17.05
17,sakrebulo smd,ჯუმბერი ბატიაშვილი,ქართული ოცნება,17.06
17,sakrebulo smd,დავითი ოქროცვარიძე,ქართული ოცნება,17.07
17,sakrebulo smd,გიორგი ჭიკაძე,ქართული ოცნება,17.08
17,sakrebulo smd,ზურაბი ძამუკაშვილი,ქართული ოცნება,17.09
17,sakrebulo smd,ფირუზ კევლიშვილი,ქართული ოცნება,17.10
17,sakrebulo smd,ვასილი არაბული,ქართული ოცნება,17.11
17,sakrebulo smd,გაგა გიგაური,ქართული ოცნება,17.12
17,sakrebulo smd,ვალერი ყარაულაშვილი,ქართული ოცნება,17.13
17,sakrebulo smd,ზურაბ მუსაევი,ქართული ოცნება,17.14
17,sakrebulo smd,ზაზა ტატულიშვილი,ქართული ოცნება,17.15
17,sakrebulo smd,"ალექსანდრე
შათირიშვილი",ქართული ოცნება,17.16
17,sakrebulo smd,გია ხოლუაშვილი,ქართული ოცნება,17.17
17,sakrebulo smd,ლაშა ოსეფაშვილი,ქართული ოცნება,17.18
17,sakrebulo smd,თამარი სიმაშვილი,ქართული ოცნება,17.19
17,sakrebulo smd,ნინო ციხისთავი,ქართული ოცნება,17.2
18,sakrebulo pr,იოსები ქარუმაშვილი,ქართული ოცნება,
18,sakrebulo pr,გიორგი ქიბროწაშვილი,ქართული ოცნება,
18,sakrebulo pr,ლევანი ვაჩეიშვილი,ქართული ოცნება,
18,sakrebulo pr,გელა ონიაშვილი,ქართული ოცნება,
18,sakrebulo pr,მარეხი მამულაშვილი,ქართული ოცნება,
18,sakrebulo pr,ხათუნა იჩუაიძე,ქართული ოცნება,
18,sakrebulo pr,გიორგი ახმეტელი,ქართული ოცნება,
18,sakrebulo pr,ბიძინა ჭიჭიკლიშვილი,ქართული ოცნება,
18,sakrebulo pr,ანდრო ხოხობაშვილი,ქართული ოცნება,
18,sakrebulo pr,თამარ ყეინიშვილი,ქართული ოცნება,
18,sakrebulo pr,გელა შაშიაშვილი,ქართული ოცნება,
18,sakrebulo pr,ლია ვალაშვილი,ქართული ოცნება,
18,sakrebulo pr,შორენა ხოხობაშვილი,ქართული ოცნება,
18,sakrebulo pr,მერაბი უძილაური,ქართული ოცნება,
18,sakrebulo pr,ზაზა ხოსიაშვილი,ძლიერი საქართველო-ლელო,
18,sakrebulo smd,კახა მამულაშვილი,ქართული ოცნება,18.01
18,sakrebulo smd,ვალერიან თურქიაშვილი,ქართული ოცნება,18.02
18,sakrebulo smd,ისლამ მარგოშვილი,ქართული ოცნება,18.03
18,sakrebulo smd,ბესარიონ კაიშვილი,ქართული ოცნება,18.04
18,sakrebulo smd,როსტომ ალხანაშვილი,ქართული ოცნება,18.05
18,sakrebulo smd,ზეზვა ფიცხელაური,ქართული ოცნება,18.06
18,sakrebulo smd,ადამე მოზაიძე,ქართული ოცნება,18.07
18,sakrebulo smd,გიორგი მამუჩარაშვილი,ქართული ოცნება,18.08
18,sakrebulo smd,ბიძინა მექვევრიშვილი,ქართული ოცნება,18.09
18,sakrebulo smd,ირაკლი ბექურაიძე,ქართული ოცნება,18.10
18,sakrebulo smd,ილია კუპრავიშვილი,ქართული ოცნება,18.11
18,sakrebulo smd,რევაზ გახუაშვილი,ქართული ოცნება,18.12
18,sakrebulo smd,არჩილ ჭოლიკიძე,ქართული ოცნება,18.13
18,sakrebulo smd,დავით ავაზაშვილი,ქართული ოცნება,18.14
18,sakrebulo smd,ზეზვა უძილაური,ქართული ოცნება,18.15
18,sakrebulo smd,ჯუმბერ მუთოშვილი,ქართული ოცნება,18.16
19,sakrebulo pr,დავით ჯიმშიტაშვილი,ქართული ოცნება,
19,sakrebulo pr,თამარი არჩემაშვილი,ქართული ოცნება,
19,sakrebulo pr,დავით მგელიაშვილი,ქართული ოცნება,
19,sakrebulo pr,ლევან ბალღიაშვილი,ქართული ოცნება,
19,sakrebulo pr,დავითი ბოდაველი,ქართული ოცნება,
19,sakrebulo pr,გიორგი ჯიმშიტაშვილი,ქართული ოცნება,
19,sakrebulo pr,ნათია ოქროჯანაშვილი,ქართული ოცნება,
19,sakrebulo pr,სოლომონ ბოღრაშვილი,ქართული ოცნება,
19,sakrebulo pr,იაგო შარაზადიშვილი,ქართული ოცნება,
19,sakrebulo pr,ირაკლი ცალუღელაშვილი,ქართული ოცნება,
19,sakrebulo pr,იაგო ჩხუტიაშვილი,ქართული ოცნება,
19,sakrebulo pr,ზვიად ზვიადაური,ქართული ოცნება,
19,sakrebulo pr,გიორგი ჯუგაშვილი,ძლიერი საქართველო-ლელო,
19,sakrebulo pr,თამაზ იარაჯული,„გახარია საქართველოსთვის“,
19,sakrebulo pr,კახაბერ ელიზბარაშვილი,„კონსერვატორები საქართველოსთვის“,
19,sakrebulo smd,ნანა დულუზაური,ქართული ოცნება,19.01
19,sakrebulo smd,ბესიკ ჩახმახაშვილი,ქართული ოცნება,19.02
19,sakrebulo smd,უჩა ქეშიკაშვილი,ქართული ოცნება,19.03
19,sakrebulo smd,აჩიკო ალბუთაშვილი,ქართული ოცნება,19.04
19,sakrebulo smd,გივი ჩიტაური,ქართული ოცნება,19.05
19,sakrebulo smd,მინდია ნადირაშვილი,ქართული ოცნება,19.06
19,sakrebulo smd,იოსებ მათურელი,ქართული ოცნება,19.07
19,sakrebulo smd,ზვიადი ბიჩინაშვილი,ქართული ოცნება,19.08
19,sakrebulo smd,ზვიად ბაგაშვილი,ქართული ოცნება,19.09
19,sakrebulo smd,"ნიკოლოზი
დიდებაშვილი",ქართული ოცნება,19.10
19,sakrebulo smd,გიორგი ზვიადაური,ქართული ოცნება,19.11
19,sakrebulo smd,გიორგი ხუცურაული,ქართული ოცნება,19.12
20,sakrebulo pr,მამუკა რეხვიაშვილი,ქართული ოცნება,
20,sakrebulo pr,მარინა ლიპარტელიანი,ქართული ოცნება,
20,sakrebulo pr,მამუკა ხელაია,ქართული ოცნება,
20,sakrebulo pr,ლაშა ჩოფლიანი,ქართული ოცნება,
20,sakrebulo pr,გოჩა ლორია,ქართული ოცნება,
20,sakrebulo pr,ბადრი მაჭავარიანი,ქართული ოცნება,
20,sakrebulo pr,ამირან ჯანჯღავა,ქართული ოცნება,
20,sakrebulo pr,ერეკლე ლაცაბიძე,ქართული ოცნება,
20,sakrebulo pr,თამარი გოგაძე,ქართული ოცნება,
20,sakrebulo pr,გიორგი დემეტრაშვილი,ქართული ოცნება,
20,sakrebulo pr,ლიანა ჯღარკავა,ქართული ოცნება,
20,sakrebulo pr,შოთა ზალკალიანი,გირჩი,
20,sakrebulo pr,ნათია შელეგია,„გახარია საქართველოსთვის“,
20,sakrebulo pr,ნინო სულაძე,ძლიერი საქართველო-ლელო,
20,sakrebulo pr,მერაბი გიგანი,„კონსერვატორები საქართველოსთვის“,
20,sakrebulo smd,გიგა კიკვაძე,ქართული ოცნება,20.01
20,sakrebulo smd,მიხეილი მუზაშვილი,ქართული ოცნება,20.02
20,sakrebulo smd,ზაზა ტოგონიძე,ქართული ოცნება,20.03
20,sakrebulo smd,მიხეილ ბერუაშვილი,ქართული ოცნება,20.04
20,sakrebulo smd,ლელა ლუარსაბიშვილი,ქართული ოცნება,20.05
20,sakrebulo smd,გიორგი ტუხაშვილი,ქართული ოცნება,20.06
20,sakrebulo smd,"სოფიო მაჭარაშვილი-
რამიშვილი",ქართული ოცნება,20.07
